날짜,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			2017-01",108,-1.8,-5.8,2.9
"			2017-02",108,-0.2,-4.7,4.8
"			2017-03",108,6.3,1.7,12.3
"			2017-04",108,13.9,9.1,20
"			2017-05",108,19.5,14.4,25.4
"			2017-06",108,23.3,18.7,28.8
"			2017-07",108,26.9,24.3,30.4
"			2017-08",108,25.9,22.9,29.7
"			2017-09",108,22.1,17.5,27.4
"			2017-10",108,16.4,11.6,22.5
"			2017-11",108,5.6,1.3,10.5
"			2017-12",108,-1.9,-5.7,2.2
"			2018-01",108,-4,-7.3,0.1
"			2018-02",108,-1.6,-5.9,3.3
"			2018-03",108,8.1,3.8,13.6
"			2018-04",108,13,8.1,18.5
"			2018-05",108,18.2,13.4,23.3
"			2018-06",108,23.1,18.9,28.4
"			2018-07",108,27.8,24.2,32.1
"			2018-08",108,28.8,25.2,33.3
"			2018-09",108,21.5,17.6,26
"			2018-10",108,13.1,8.5,18.6
"			2018-11",108,7.8,3.6,13.2
"			2018-12",108,-0.6,-4.7,4.1
"			2019-01",108,-0.9,-5.1,4.1
"			2019-02",108,1,-3.2,6
"			2019-03",108,7.1,2.7,12.4
"			2019-04",108,12.1,7.2,17.6
"			2019-05",108,19.4,13.7,25.6
"			2019-06",108,22.5,18.1,27.7
"			2019-07",108,25.9,22.7,30.1
"			2019-08",108,27.2,23.6,31.6
"			2019-09",108,22.6,19,27.1
"			2019-10",108,16.4,11.8,21.8
"			2019-11",108,7.6,3.1,12.9
"			2019-12",108,1.4,-2.6,5.3
"			2020-01",108,1.6,-1.7,5.9
"			2020-02",108,2.5,-1.3,7.2
"			2020-03",108,7.7,2.6,13.3
"			2020-04",108,11.1,6.3,16.6
"			2020-05",108,18,13.7,23.3
"			2020-06",108,23.9,19.9,29
"			2020-07",108,24.1,21.1,28
"			2020-08",108,26.5,24.4,29.3
"			2020-09",108,21.4,18,25.6
"			2020-10",108,14.3,9.6,19.5
"			2020-11",108,8,4,12.6
"			2020-12",108,-0.3,-4.2,3.9
"			2021-01",108,-2.4,-6.8,2.2
"			2021-02",108,2.7,-2.2,7.9
"			2021-03",108,9,4.3,14.8
"			2021-04",108,14.2,9.5,19.5
"			2021-05",108,17.1,12.8,21.9
"			2021-06",108,22.8,18.9,27.6
"			2021-07",108,28.1,24.6,32.2
"			2021-08",108,25.9,22.8,29.7
"			2021-09",108,22.6,18.8,26.9
"			2021-10",108,15.6,11.6,20.5
"			2021-11",108,8.2,4,13.1
"			2021-12",108,0.6,-3.5,5.1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"			",,,,
