,날짜,원자력,석  탄,가  스,신재생,유  류,양  수,기  타
0,2021-01,"23,250","35,853","41,170","21,491","2,159","4,700",197
1,2021-02,"23,250","35,853","41,170","21,785","2,159","4,700",197
2,2021-03,"23,250","35,853","41,170","21,714","2,159","4,700",515
3,2021-04,"23,250","34,733","41,170","21,914","2,159","4,700",515
4,2021-05,"23,250","35,780","41,170","22,050","2,159","4,700",514
5,2021-06,"23,250","36,798","41,170","22,478","2,159","4,700",514
6,2021-07,"23,250","36,798","41,170","22,739","2,159","4,700",514
7,2021-08,"23,250","36,798","41,170","23,058","2,159","4,700",515
8,2021-09,"23,250","36,798","41,170","23,522","2,159","4,700",515
9,2021-10,"23,250","37,838","41,170","23,824","2,159","4,700",515
10,2021-11,"23,250","37,838","41,170","24,264","2,159","4,700",515
11,2021-12,"23,250","37,338","41,201","24,855","2,160","4,700",515
