행정구역,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
전국,"51,704,332","51,712,221","51,714,935","51,722,903","51,732,586","51,736,224","51,744,948","51,753,820","51,762,492","51,769,092","51,774,649","51,778,544","51,779,148","51,779,892","51,784,669","51,790,131","51,796,179","51,801,449","51,806,977","51,812,153","51,817,851","51,821,881","51,824,477","51,826,059","51,826,287","51,829,538","51,833,175","51,836,763","51,840,339","51,842,636","51,845,612","51,847,538","51,849,253","51,850,705","51,851,427","51,849,861","51,847,509","51,844,627","51,843,195","51,842,524","51,841,371","51,839,408","51,839,852","51,839,953","51,841,786","51,838,016","51,834,302","51,829,023","51,825,932","51,824,142","51,705,905","51,702,100","51,683,025","51,672,400","51,671,569","51,669,716","51,667,688","51,662,290","51,652,704","51,638,809"
서울특별시,"9,930,478","9,931,412","9,926,968","9,922,745","9,919,016","9,914,381","9,908,612","9,902,072","9,891,448","9,882,810","9,870,167","9,857,426","9,851,767","9,845,336","9,838,892","9,830,452","9,820,971","9,814,049","9,806,538","9,799,075","9,793,003","9,784,112","9,774,088","9,765,623","9,766,288","9,770,638","9,770,216","9,766,886","9,762,062","9,757,144","9,751,415","9,744,888","9,740,398","9,736,289","9,732,577","9,729,107","9,733,509","9,736,962","9,733,655","9,726,787","9,724,496","9,720,846","9,715,429","9,708,247","9,699,232","9,689,159","9,679,771","9,668,465","9,657,969","9,648,606","9,598,484","9,588,711","9,575,355","9,565,990","9,558,153","9,550,227","9,542,256","9,532,428","9,520,880","9,509,458"
부산광역시,"3,496,779","3,495,478","3,493,041","3,491,282","3,489,212","3,486,570","3,484,836","3,484,183","3,482,804","3,478,109","3,474,534","3,470,653","3,467,055","3,465,407","3,463,103","3,460,707","3,458,134","3,455,611","3,453,198","3,451,049","3,449,593","3,446,856","3,444,540","3,441,453","3,438,259","3,436,230","3,434,091","3,431,750","3,429,595","3,427,632","3,425,317","3,423,209","3,421,502","3,418,871","3,416,721","3,413,841","3,411,819","3,410,925","3,409,932","3,408,347","3,406,942","3,404,423","3,402,776","3,401,072","3,399,749","3,397,598","3,395,514","3,391,946","3,389,388","3,387,761","3,372,399","3,369,704","3,367,334","3,364,358","3,361,781","3,359,527","3,358,763","3,356,311","3,353,627","3,350,380"
대구광역시,"2,484,688","2,484,578","2,483,488","2,483,105","2,482,476","2,481,985","2,481,489","2,479,887","2,478,236","2,477,186","2,476,557","2,475,231","2,474,309","2,473,466","2,472,175","2,471,136","2,469,936","2,469,617","2,468,824","2,467,385","2,466,454","2,465,145","2,464,002","2,461,769","2,460,382","2,458,138","2,455,829","2,454,154","2,452,291","2,450,478","2,448,666","2,446,745","2,445,270","2,443,528","2,441,581","2,438,031","2,436,488","2,432,883","2,433,568","2,431,523","2,429,059","2,427,954","2,428,022","2,428,228","2,426,849","2,424,171","2,421,859","2,418,346","2,415,813","2,413,191","2,408,875","2,406,296","2,402,940","2,397,646","2,395,749","2,393,626","2,392,787","2,390,721","2,388,230","2,385,412"
인천광역시,"2,944,009","2,944,266","2,944,630","2,945,305","2,946,270","2,946,915","2,947,803","2,948,014","2,947,298","2,948,098","2,948,241","2,948,542","2,950,771","2,951,629","2,951,442","2,952,476","2,953,255","2,953,883","2,953,841","2,953,206","2,953,116","2,953,333","2,953,844","2,954,642","2,955,916","2,956,063","2,956,513","2,956,700","2,957,179","2,957,024","2,956,828","2,956,525","2,956,804","2,956,984","2,957,249","2,957,026","2,956,119","2,954,955","2,952,689","2,950,972","2,950,063","2,947,217","2,945,565","2,943,491","2,942,553","2,942,233","2,942,307","2,942,828","2,942,452","2,941,705","2,936,461","2,936,214","2,936,382","2,936,367","2,937,440","2,938,429","2,941,795","2,945,009","2,946,319","2,948,375"
광주광역시,"1,469,583","1,468,527","1,467,766","1,467,002","1,466,741","1,466,451","1,466,415","1,466,642","1,466,639","1,466,716","1,466,328","1,463,770","1,464,037","1,463,100","1,462,033","1,460,972","1,460,564","1,460,745","1,461,203","1,461,463","1,461,790","1,461,904","1,461,009","1,459,336","1,459,832","1,459,208","1,458,930","1,458,940","1,459,003","1,459,024","1,459,486","1,459,438","1,459,632","1,459,360","1,458,915","1,456,468","1,456,688","1,456,121","1,455,705","1,456,096","1,455,533","1,455,048","1,454,709","1,454,154","1,453,952","1,452,994","1,451,993","1,450,062","1,449,115","1,447,953","1,445,473","1,444,787","1,443,154","1,442,647","1,442,482","1,441,970","1,442,827","1,442,454","1,442,138","1,441,611"
대전광역시,"1,514,354","1,513,877","1,512,189","1,511,396","1,509,587","1,508,137","1,507,597","1,507,116","1,506,741","1,505,829","1,504,307","1,502,227","1,501,378","1,499,187","1,497,572","1,496,123","1,495,234","1,494,878","1,495,029","1,494,286","1,493,654","1,492,589","1,491,716","1,489,936","1,488,725","1,487,605","1,486,647","1,485,509","1,484,398","1,482,938","1,481,701","1,480,520","1,479,641","1,478,436","1,476,955","1,474,870","1,474,152","1,473,125","1,471,858","1,471,650","1,471,915","1,471,040","1,470,225","1,469,431","1,469,099","1,467,556","1,465,893","1,463,882","1,463,291","1,462,064","1,458,463","1,457,619","1,457,161","1,456,107","1,455,300","1,454,679","1,455,058","1,454,228","1,453,675","1,452,251"
울산광역시,"1,171,656","1,169,957","1,168,843","1,168,501","1,167,960","1,167,525","1,166,942","1,165,909","1,165,385","1,165,528","1,165,317","1,165,132","1,164,489","1,163,151","1,162,074","1,161,303","1,160,657","1,159,594","1,158,847","1,157,964","1,157,420","1,156,917","1,156,260","1,155,623","1,154,786","1,153,735","1,152,800","1,152,293","1,151,685","1,151,301","1,150,891","1,150,294","1,149,873","1,149,409","1,148,922","1,148,019","1,147,037","1,145,710","1,144,563","1,144,098","1,143,148","1,142,190","1,141,362","1,140,310","1,139,368","1,138,581","1,137,345","1,136,017","1,135,370","1,132,953","1,129,254","1,128,163","1,127,175","1,126,369","1,125,727","1,124,459","1,123,236","1,122,566","1,122,495","1,121,592"
세종특별자치시,"244,939","247,600","251,178","254,112","259,157","263,056","266,075","269,102","271,410","274,092","276,879","280,100","283,198","288,079","291,182","295,041","297,604","300,332","302,703","305,648","308,068","310,403","312,103","314,126","316,814","320,326","322,693","324,417","325,777","327,643","330,298","332,098","333,757","336,356","338,647","340,575","342,328","343,788","344,792","345,216","345,373","345,341","346,217","347,232","348,014","351,007","353,430","355,831","357,871","359,569","360,462","361,396","362,036","362,995","364,364","365,309","366,560","368,276","369,465","371,895"
경기도,"12,728,620","12,741,266","12,753,983","12,763,961","12,775,175","12,783,741","12,795,378","12,810,014","12,827,633","12,841,321","12,858,161","12,873,895","12,890,445","12,908,010","12,925,761","12,941,604","12,958,648","12,975,176","12,993,165","13,012,486","13,027,338","13,045,223","13,061,074","13,077,153","13,090,648","13,104,696","13,116,579","13,129,508","13,145,482","13,159,178","13,176,011","13,193,943","13,207,219","13,218,912","13,228,177","13,239,666","13,250,368","13,265,377","13,288,975","13,311,254","13,324,041","13,338,020","13,351,891","13,370,714","13,388,485","13,400,615","13,413,459","13,427,014","13,449,499","13,471,758","13,465,837","13,479,798","13,488,910","13,500,688","13,512,867","13,530,519","13,542,284","13,549,577","13,557,973","13,565,450"
강원도,"1,549,212","1,548,252","1,547,735","1,547,579","1,547,453","1,547,829","1,547,387","1,547,455","1,547,768","1,547,999","1,549,344","1,550,142","1,548,078","1,546,259","1,546,152","1,545,452","1,545,291","1,544,843","1,544,258","1,543,668","1,543,780","1,543,441","1,543,556","1,543,052","1,541,693","1,540,445","1,540,488","1,540,794","1,540,776","1,540,855","1,540,714","1,540,780","1,540,721","1,540,897","1,541,399","1,541,502","1,540,540","1,539,521","1,538,577","1,537,780","1,538,639","1,539,282","1,540,094","1,540,689","1,541,104","1,541,836","1,542,374","1,542,840","1,541,696","1,540,875","1,536,399","1,536,175","1,535,491","1,535,530","1,536,140","1,536,270","1,536,765","1,537,717","1,538,273","1,538,492"
충청북도,"1,591,674","1,592,001","1,591,697","1,592,492","1,592,573","1,592,634","1,592,817","1,593,022","1,593,313","1,593,577","1,594,005","1,594,432","1,593,903","1,594,066","1,594,708","1,595,164","1,595,822","1,595,772","1,596,161","1,596,324","1,596,734","1,597,709","1,598,184","1,599,252","1,599,155","1,598,868","1,598,775","1,599,488","1,599,854","1,599,650","1,599,368","1,599,402","1,599,339","1,599,499","1,599,651","1,600,007","1,599,391","1,598,599","1,597,639","1,596,613","1,596,710","1,597,593","1,597,936","1,598,162","1,598,536","1,599,102","1,599,680","1,600,837","1,599,658","1,599,122","1,595,714","1,596,303","1,596,955","1,597,503","1,597,501","1,597,179","1,596,765","1,596,948","1,597,019","1,597,427"
충청남도,"2,097,406","2,099,924","2,102,327","2,104,463","2,105,959","2,107,562","2,109,230","2,111,419","2,113,033","2,114,284","2,115,586","2,116,770","2,117,685","2,118,099","2,119,468","2,120,666","2,121,618","2,122,220","2,122,531","2,123,368","2,123,776","2,124,524","2,125,409","2,126,282","2,125,797","2,125,372","2,125,778","2,125,912","2,125,732","2,125,855","2,125,349","2,125,160","2,124,855","2,124,619","2,124,302","2,123,709","2,122,455","2,120,995","2,119,749","2,118,457","2,118,510","2,119,771","2,120,692","2,120,519","2,120,559","2,120,347","2,120,607","2,121,029","2,119,837","2,119,542","2,115,823","2,116,452","2,117,260","2,117,400","2,118,205","2,118,183","2,118,098","2,118,977","2,119,529","2,119,257"
전라북도,"1,863,298","1,861,955","1,860,485","1,859,703","1,858,927","1,857,815","1,856,921","1,855,985","1,855,450","1,854,688","1,853,886","1,854,607","1,851,694","1,849,543","1,848,066","1,847,089","1,846,144","1,844,639","1,843,009","1,841,427","1,840,544","1,839,358","1,838,049","1,836,832","1,834,532","1,832,227","1,830,499","1,829,273","1,827,871","1,826,717","1,825,381","1,823,982","1,822,883","1,821,813","1,820,799","1,818,917","1,817,302","1,815,112","1,812,936","1,811,619","1,810,097","1,808,802","1,808,044","1,807,094","1,806,441","1,805,937","1,805,204","1,804,104","1,802,748","1,801,319","1,797,450","1,796,331","1,794,682","1,794,345","1,793,902","1,792,476","1,791,110","1,789,770","1,788,616","1,786,855"
전라남도,"1,902,380","1,900,797","1,899,441","1,899,604","1,899,088","1,898,065","1,897,681","1,895,974","1,895,233","1,894,676","1,894,426","1,896,424","1,893,444","1,891,308","1,890,423","1,890,412","1,889,726","1,887,991","1,886,297","1,884,285","1,882,637","1,881,420","1,881,518","1,882,970","1,878,904","1,875,862","1,874,232","1,873,183","1,871,718","1,870,587","1,868,856","1,867,094","1,865,915","1,865,039","1,865,588","1,868,745","1,864,712","1,861,894","1,859,290","1,857,083","1,855,945","1,854,618","1,853,339","1,851,985","1,851,124","1,850,680","1,850,557","1,851,549","1,850,575","1,849,795","1,844,811","1,844,148","1,842,423","1,840,921","1,839,698","1,838,353","1,835,690","1,834,653","1,833,864","1,832,803"
경상북도,"2,698,803","2,696,329","2,694,544","2,693,810","2,692,859","2,691,727","2,690,974","2,690,671","2,691,502","2,691,794","2,691,878","2,691,706","2,688,747","2,685,633","2,683,661","2,682,897","2,682,316","2,681,090","2,679,546","2,678,272","2,677,762","2,676,904","2,677,014","2,676,831","2,674,005","2,671,587","2,671,036","2,670,375","2,669,731","2,669,850","2,668,836","2,667,657","2,666,795","2,666,072","2,665,775","2,665,836","2,662,508","2,658,956","2,653,418","2,651,054","2,648,760","2,646,493","2,644,001","2,640,932","2,640,003","2,639,763","2,639,245","2,639,422","2,637,639","2,636,747","2,635,563","2,635,896","2,633,592","2,632,401","2,631,649","2,630,254","2,628,344","2,627,925","2,627,468","2,626,609"
경상남도,"3,374,065","3,372,266","3,371,696","3,371,703","3,372,586","3,373,334","3,374,601","3,374,467","3,375,329","3,377,635","3,379,020","3,380,404","3,379,981","3,378,430","3,377,516","3,377,126","3,377,626","3,377,483","3,377,248","3,376,730","3,376,031","3,375,357","3,375,047","3,373,988","3,373,214","3,371,016","3,369,949","3,368,933","3,367,857","3,366,989","3,366,286","3,365,282","3,364,039","3,363,883","3,363,274","3,362,553","3,361,344","3,358,828","3,355,341","3,353,380","3,351,347","3,349,454","3,347,637","3,345,169","3,343,770","3,342,831","3,341,063","3,340,216","3,338,396","3,336,045","3,330,463","3,329,623","3,327,298","3,325,840","3,324,735","3,322,373","3,319,271","3,318,161","3,316,365","3,314,183"
제주특별자치도,"642,388","643,736","644,924","646,140","647,547","648,497","650,190","651,888","653,270","654,750","656,013","657,083","658,167","659,189","660,441","661,511","662,633","663,526","664,579","665,517","666,151","666,686","667,064","667,191","667,337","667,522","668,120","668,648","669,328","669,771","670,209","670,521","670,610","670,738","670,895","670,989","670,749","670,876","670,508","670,595","670,793","671,316","671,913","672,524","672,948","673,606","674,001","674,635","674,615","675,137","673,974","674,484","674,877","675,293","675,876","675,883","676,079","676,569","676,768","676,759"
