시점,평균 기온 (℃),평균최고 기온 (℃),극점최고 기온 (℃),평균최저 기온 (℃),극점최저 기온 (℃),강수량 (mm),평균 상대습도 (%),최소 상대습도 (%),평균해면기압 (hpa),이슬점온도 (℃),평균운량 (10%),일조시간 (hr),최심신적설 (㎝),평균풍속 (m/s),최대풍속 (m/s),최대순간풍속 (m/s)
2021. 01,-2.4,2.2,13.9,-6.8,-18.6,18.9,58,19,1024.9,-10.2,3.9,176.4,5,2.5,8.7,17.5
2021. 02,2.7,7.9,17.4,-2.2,-10.6,7.1,56,18,1021.5,-6,4,181,4.2,2.6,7.5,15.8
2021. 03,9,14.8,22.9,4.3,-1.2,110.9,63,19,1019.7,1.5,4.7,213,2.3,2.4,6.9,14.8
2021. 04,14.2,19.5,28.2,9.5,3.1,124.1,54,18,1018.1,4.1,4.8,208.6,-,2.6,7.1,12.5
2021. 05,17.1,21.9,30.8,12.8,7.3,183.1,68,25,1008.9,10.3,5.6,203.7,-,2.4,8.4,16
2021. 06,22.8,27.6,31.6,18.9,13.3,104.6,73,36,1007.5,17.2,5.6,185.5,-,2.2,7.8,15
2021. 07,28.1,32.2,36.5,24.6,19.6,168.3,71,37,1007.7,21.9,5.9,195.2,-,2,7.4,16.5
2021. 08,25.9,29.7,33.7,22.8,18.1,211.2,74,39,1008.2,20.5,7,127.3,-,2.1,8.3,16.4
2021. 09,22.6,26.9,30.3,18.8,16,131,71,38,1013.3,16.6,5.4,182,-,2.3,7.1,12.5
2021. 10,15.6,20.5,28.8,11.6,1.3,57,70,25,1021.2,9.6,4.7,168.4,-,2.1,10.6,20.9
2021. 11,8.2,13.1,21.3,4,-3.7,62.4,68,27,1019.6,2.2,4.2,163.6,-,2.1,9.3,16.6
2021. 12,0.6,5.1,13.3,-3.5,-15.5,7.9,62,26,1025.2,-6.4,3.2,185.4,4.4,2.3,8.1,15.2
